,initial_investment,subsequent_investment,total_net_assets,year_to_date_return,week52_high,week52_low,fund_yield,morningstar_overall_rating,morningstar_risk_rating,annual_holdings_turnover,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,fund_year3_expense_projection,fund_year5_expense_projection,fund_year10_expense_projection,asset_cash,fund_sector_basic_materials,fund_sector_utilities,fund_sector_technology,fund_sector_real_estate,fund_sector_industrials,fund_sector_healthcare,fund_sector_financial_services,fund_sector_energy,fund_sector_consumer_defensive,fund_sector_consumer_cyclical,fund_sector_communication_services,fund_price_earning_ratio,fund_price_sales_ratio,fund_year3_earnings_growth,fund_bond_maturity,morningstar_return_rating,fund_return_ytd,fund_return_3years,fund_return_5years,fund_return_10years,environment_score,esg_score,sustainability_rank,governance_score
fund_annual_report_net_expense_ratio,-0.06343096734692327,0.0007676217926432383,-0.11183389215001976,0.07610268871020899,-0.0016806540625216749,-0.01940480167999671,-0.07735011054164954,-0.18821731734608574,0.046457227983519346,0.11831662807912376,1.0,0.302280038275883,0.2350194940498542,0.32288864429047354,0.22753476871988387,0.18358144576088622,0.04341850473989948,0.013680648160600191,0.07705952498927225,0.04840761746575118,0.07700961587776473,0.054072026668536076,0.08180333966373904,0.047530290641952945,0.03697787323461162,0.07769637516488605,0.03132146147630867,0.1082137062027199,0.10677087627981467,0.04866763169736669,-0.15159047936171244,-0.17262517635801997,0.07605569634480229,-0.020150197898453296,0.046040368859986726,0.059113657261881815,0.057226019219906665,0.1387605227436241,0.06613479771231451,0.03116406072047981
category_annual_report_net_expense_ratio,-0.032009176055849665,0.01398134367952086,-0.020264681316315952,0.11489392315297497,0.018071224717638078,0.015640122644882497,0.012057229437857654,0.1120664173030527,0.04355952687252513,0.06697312893316426,0.302280038275883,1.0,0.05243150610956806,0.07271143321162767,0.049426899465538666,-0.006951476542514407,0.05809757827791847,0.03551068247343371,0.03356008518275838,0.10064337397917776,0.09145218485794514,0.026983752722507033,0.014980474655360673,0.08247730962468716,-0.015019324768511947,0.056210433701633415,-0.02854385985758738,0.0685059703561845,0.10722263599024215,-0.009201899472316297,-0.2248211782859405,0.09766186069634078,0.11492929476068811,0.05463495731693239,0.08687866069071332,0.07159005106322658,0.018342281757386114,0.16466111963824584,0.06179198797989892,-0.045310631207017275
fund_year3_expense_projection,-0.02207118496429543,-0.005467191861555195,-0.05449500017283382,0.029909080733355718,-0.021982446642324863,-0.027678854218350063,-0.02692468379088238,-0.11182920999916811,-0.020900566591168793,0.020471508065400157,0.2350194940498542,0.05243150610956806,1.0,0.938200425736083,0.39141990608546734,0.04340044089801782,0.007703749508983235,-0.0006416504660786084,0.03563416542448195,0.021991095186590724,0.02680330304257758,0.022634094753581045,0.020160213500036234,-0.0005554144942185204,0.015428041019837252,0.028176205782453133,0.029708458704430552,0.047769964467404266,0.03751455072107039,0.021327148266737747,-0.052694560375832096,-0.10388831753165911,0.029879906028258175,-0.04176598957856127,-0.050950043747050165,-0.029428213169395378,0.02175704192738946,0.04263049838344769,0.02436972942822569,0.020044024060801163
fund_year5_expense_projection,-0.029881253447211376,-0.003790788992801275,-0.07192824167740372,0.05408867617974244,-0.028215621003909494,-0.03626978777638721,-0.027210522536430998,-0.11916254870574362,-0.0019091739265700083,0.0368775054239038,0.32288864429047354,0.07271143321162767,0.938200425736083,1.0,0.46568753635122956,0.0691127484595946,0.017442365650121035,-0.00034633288036337956,0.052790237984118714,0.0378673583407811,0.04681561995711452,0.03446221327071821,0.03224656269225065,0.004678033861685027,0.027313683213970215,0.05019588652540572,0.03806183145027868,0.07132296440066203,0.05128837901031947,0.03938429785971514,-0.05704586088494909,-0.10963314487991838,0.054055902119764604,-0.034541885562126555,-0.05714180006787936,-0.03795191918644589,0.043728928749300545,0.07887427758662886,0.042544912067785025,0.04147004370056857
fund_year10_expense_projection,-0.02135306715238382,-0.0007745760807097565,-0.052521397780854885,0.028672481859152808,-0.022302621290213705,-0.027838101230532448,-0.021302451779257117,-0.08654195182420499,-0.006548975886455809,0.026492088901309437,0.22753476871988387,0.049426899465538666,0.39141990608546734,0.46568753635122956,1.0,0.1046003842825804,0.010759789626616662,-0.0004635279963919264,0.028894282939588057,0.024432569642450518,0.028104594507451227,0.018600794640531625,0.0172312206445879,0.0034102118506295566,0.016635531856012947,0.03036652620248836,0.01687683985682546,0.038803074356800395,0.02699205368787782,0.021990146294198095,-0.03864684942703827,-0.08061485536242688,0.02865200173914419,-0.027043426907799428,-0.04037887014306711,-0.029989647593071978,0.025178731015709943,0.049949396301830595,0.024088766306289346,0.021347839135090904
asset_cash,-0.0028748026596956758,-0.0010916224564443621,-0.024625736527403557,-0.1737538582392917,-0.03126857577988274,-0.03598702180719763,-0.011292612786566354,-0.11849774974505387,-0.08862164110466295,0.2146752350506939,0.18358144576088622,-0.006951476542514407,0.04340044089801782,0.0691127484595946,0.1046003842825804,1.0,-0.03139274474209176,-0.01213460277644972,-0.08859481496893307,-0.03737543125829931,-0.07496026812601266,-0.07337790601625656,-0.07552470394459765,-0.018424124889715232,-0.02911073388116404,-0.08689312782068079,-0.027351307173804337,-0.10991955978987349,-0.09341011250263549,-0.06410541422086756,-0.06433555287512951,-0.11510025992223126,-0.17378297646075766,-0.24710989183176765,-0.23748217534968383,-0.2128587892124227,-0.08851386844622831,-0.1553117184045478,-0.1155252036780835,-0.10692304121554146
fund_sector_basic_materials,0.003010482421429245,-0.010169050819953384,0.0004831528388259843,0.045358118989102796,0.008946550492283243,0.004802469372730578,0.003635916431493684,-0.006920015442443777,0.009462533045937744,-0.029805860866451823,0.04341850473989948,0.05809757827791847,0.007703749508983235,0.017442365650121035,0.010759789626616662,-0.03139274474209176,1.0,-0.00533127572820558,0.004982099198684049,-0.028981719395989893,0.12061129309632514,0.001632317849527234,0.06903274423449397,0.029567631899278014,0.07567070188036787,0.07494332735093351,0.008260843257830853,0.10642247206825071,0.004482818396411313,0.04070100722270756,-0.08056542915304374,-0.009735145902450311,0.04532538576989775,0.01394556983728134,0.04849654156669973,-0.0603330938317171,0.33618650689421375,0.20529690496321318,0.15735547569766178,0.12641944241390476
fund_sector_utilities,-0.0030377847442919145,-0.006579474728303558,0.0011587337333243343,-0.011188386098606984,-0.023815032648142928,-0.019845975716582906,0.0439237998451319,-0.0010868930887595666,-0.0323262374598268,-0.006307056753020082,0.013680648160600191,0.03551068247343371,-0.0006416504660786084,-0.00034633288036337956,-0.0004635279963919264,-0.01213460277644972,-0.00533127572820558,1.0,-0.088554819018567,-0.008706580447620868,0.08223047119267721,-0.0320637561646582,-0.01877586597470357,-0.0005593893549426619,-0.006608929272091205,-0.07923219095979608,-0.019284482509214967,-0.012713092475938501,0.03948055627761589,-0.061131786468875814,-0.020285240810585234,-0.01224876438734712,-0.011216349290150392,-0.01962973288045196,-0.012093671870099935,-0.008048934710752818,0.1835109797805109,0.07382474073725628,0.07232339894961397,0.048656129349030935
fund_sector_technology,0.015643925088636785,-0.02337375133872308,0.0486413810556289,0.3290813818234421,0.2878909788023512,0.27427039109452345,-0.29197469531782344,0.0674153623173381,-0.027703927320998897,-0.09194415987581786,0.07705952498927225,0.03356008518275838,0.03563416542448195,0.052790237984118714,0.028894282939588057,-0.08859481496893307,0.004982099198684049,-0.088554819018567,1.0,-0.10756827200366512,0.305496964002884,0.3905159219059305,0.20116655882141485,-0.17186665287074568,0.18071245174944492,0.463313328613521,0.402548037685427,0.707722150425037,0.4707410800277659,0.6307064911565478,-0.30368495070078905,0.057955770118651904,0.329159969811789,0.5644015606988322,0.4590064138903635,0.34807450546976626,0.24298885590798944,0.48661680636347865,0.2889946381237925,0.461259353462443
fund_sector_real_estate,-0.004201522943250891,0.004055093238057563,-0.023356601987639575,0.24897670806914826,-0.013207266005541028,-0.02076540935040741,0.01854129396754205,0.010551353894892895,0.00751801444170225,-0.009779109965174584,0.04840761746575118,0.10064337397917776,0.021991095186590724,0.0378673583407811,0.024432569642450518,-0.03737543125829931,-0.028981719395989893,-0.008706580447620868,-0.10756827200366512,1.0,-0.04671972390897522,-0.08751821528866341,-0.05700340963059237,-0.042664563036177175,-0.05968912062594918,-0.07149265978663395,-0.08488657104427605,0.19372637981811144,0.3981646072096418,-0.06315338507182605,-0.08486474124898025,0.0077675952980840015,0.2489442671846149,0.03706881812127948,0.01400825340970523,0.013742856573090923,0.08875874190012649,0.049410533386513016,0.10438741771031716,0.029066724519249312
